Category,Name,Price,Kitchen
Veg Starters,French Fries Salted,59,Restaurant
Veg Starters,Masala Fries,69,Restaurant
Veg Starters,Peri Peri Fries,99,Restaurant
Non Veg Starters,Chicken Fingers-5,99,Restaurant
Non Veg Starters,Chicken Nuggets-8,99,Restaurant
Burgers,Veg Burger,79,Restaurant
Burgers,Veg Cheese Burger,99,Restaurant
Burgers,Paneer Burger,99,Restaurant
Fried Rice (Veg),Veg Fried Rice,90,Fast Food
Fried Rice (Veg),Shazwan Veg Fried Rice,100,Fast Food
Fried Rice (Non - Veg),Egg Fried Rice,100,Fast Food
Fried Rice (Non - Veg),Chicken Fried Rice,130,Fast Food
Noodles (Veg),Veg Noodles,90,Fast Food
Noodles (Non - Veg),Egg Noodles,100,Fast Food
Manchurian (Veg),Veg Manchurian,100,Fast Food
Mocktails,Mint Mojito,59,Restaurant
Mocktails,Blue Curacao,59,Restaurant
